school_id,class,timestamp,stream
21,JSS1,02-01-2024,3
21,JSS2,02-01-2024,3
21,JSS3,02-01-2024,3
21,SSS1,02-01-2024,3
21,SSS2,02-01-2024,3
21,SSS3,02-01-2024,3
14,JSS1,02-01-2024,3
14,JSS2,02-01-2024,3
14,JSS3,02-01-2024,4
14,SSS1,02-01-2024,3
14,SSS2,02-01-2024,3
14,SSS3,02-01-2024,3
12,JSS1,02-01-2024,6
12,JSS2,02-01-2024,5
12,JSS3,02-01-2024,5
12,SSS1,02-01-2024,5
12,SSS2,02-01-2024,4
12,SSS3,02-01-2024,4
1,JSS1,02-01-2024,1
1,JSS2,02-01-2024,1
1,JSS3,02-01-2024,1
1,SSS1,02-01-2024,1
1,SSS2,02-01-2024,1
1,SSS3,02-01-2024,1
15,JSS1,02-01-2024,2
15,JSS2,02-01-2024,2
15,JSS3,02-01-2024,2
15,SSS1,02-01-2024,2
15,SSS2,02-01-2024,2
15,SSS3,02-01-2024,2
19,JSS1,02-01-2024,1
19,JSS2,02-01-2024,1
19,JSS3,02-01-2024,1
19,SSS1,02-01-2024,1
19,SSS2,02-01-2024,1
19,SSS3,02-01-2024,1
11,JSS1,02-01-2024,2
11,JSS2,02-01-2024,1
11,JSS3,02-01-2024,1
11,SSS1,02-01-2024,1
11,SSS2,02-01-2024,1
11,SSS3,02-01-2024,1
17,JSS1,02-01-2024,1
17,JSS2,02-01-2024,1
17,JSS3,02-01-2024,1
17,SSS1,02-01-2024,1
17,SSS2,02-01-2024,1
17,SSS3,02-01-2024,1
8,JSS1,02-01-2024,1
8,JSS2,02-01-2024,1
8,JSS3,02-01-2024,1
8,SSS1,02-01-2024,1
8,SSS2,02-01-2024,1
8,SSS3,02-01-2024,1
20,JSS1,02-01-2024,1
20,JSS2,02-01-2024,1
20,JSS3,02-01-2024,1
20,SSS1,02-01-2024,1
20,SSS2,02-01-2024,1
20,SSS3,02-01-2024,1
16,JSS1,02-01-2024,5
16,JSS2,02-01-2024,5
16,JSS3,02-01-2024,5
16,SSS1,02-01-2024,3
