school_id,class,timestamp,gender,population
21,JSS1,03-01-2024,Male,0
21,JSS2,03-01-2024,Male,0
21,JSS3,03-01-2024,Male,0
21,SSS1,03-01-2024,Male,0
21,SSS2,03-01-2024,Male,0
21,SSS3,03-01-2024,Male,0
21,JSS1,03-01-2024,Female,195
21,JSS2,03-01-2024,Female,146
21,JSS3,03-01-2024,Female,133
21,SSS1,03-01-2024,Female,116
21,SSS2,03-01-2024,Female,89
21,SSS3,03-01-2024,Female,87
14,JSS1,03-01-2024,Male,0
14,JSS2,03-01-2024,Male,0
14,JSS3,03-01-2024,Male,0
14,SSS1,03-01-2024,Male,0
14,SSS2,03-01-2024,Male,0
14,SSS3,03-01-2024,Male,0
14,JSS1,03-01-2024,Female,98
14,JSS2,03-01-2024,Female,106
14,JSS3,03-01-2024,Female,126
14,SSS1,03-01-2024,Female,134
14,SSS2,03-01-2024,Female,133
14,SSS3,03-01-2024,Female,123
12,JSS1,03-01-2024,Male,182
12,JSS2,03-01-2024,Male,146
12,JSS3,03-01-2024,Male,140
12,SSS1,03-01-2024,Male,116
12,SSS2,03-01-2024,Male,125
12,SSS3,03-01-2024,Male,100
12,JSS1,03-01-2024,Female,135
12,JSS2,03-01-2024,Female,123
12,JSS3,03-01-2024,Female,96
12,SSS1,03-01-2024,Female,114
12,SSS2,03-01-2024,Female,113
12,SSS3,03-01-2024,Female,84
1,JSS1,03-01-2024,Male,37
1,JSS2,03-01-2024,Male,30
1,JSS3,03-01-2024,Male,41
1,SSS1,03-01-2024,Male,32
1,SSS2,03-01-2024,Male,22
1,SSS3,03-01-2024,Male,42
1,JSS1,03-01-2024,Female,0
1,JSS2,03-01-2024,Female,0
1,JSS3,03-01-2024,Female,0
1,SSS1,03-01-2024,Female,0
1,SSS2,03-01-2024,Female,0
1,SSS3,03-01-2024,Female,0
15,JSS1,03-01-2024,Male,0
15,JSS2,03-01-2024,Male,0
15,JSS3,03-01-2024,Male,0
15,SSS1,03-01-2024,Male,0
15,SSS2,03-01-2024,Male,0
15,SSS3,03-01-2024,Male,0
