school_id,timestamp,gender,population
21,03-01-2024,Male,3
21,03-01-2024,Female,38
14,03-01-2024,Male,8
14,03-01-2024,Female,26
12,03-01-2024,Male,5
12,03-01-2024,Female,21
1,03-01-2024,Male,4
1,03-01-2024,Female,21
15,03-01-2024,Male,4
15,03-01-2024,Female,14
19,03-01-2024,Male,4
19,03-01-2024,Female,17
11,03-01-2024,Male,3
11,03-01-2024,Female,14
17,03-01-2024,Male,1
17,03-01-2024,Female,13
8,03-01-2024,Male,2
8,03-01-2024,Female,18
20,03-01-2024,Male,4
20,03-01-2024,Female,9
16,03-01-2024,Male,16
16,03-01-2024,Female,17
18,03-01-2024,Male,3
18,03-01-2024,Female,18
9,03-01-2024,Male,2
9,03-01-2024,Female,20
10,03-01-2024,Male,8
10,03-01-2024,Female,9
7,03-01-2024,Male,4
7,03-01-2024,Female,22
5,03-01-2024,Male,3
5,03-01-2024,Female,15
6,03-01-2024,Male,1
6,03-01-2024,Female,18
2,03-01-2024,Male,2
2,03-01-2024,Female,17
4,03-01-2024,Male,8
4,03-01-2024,Female,27
3,03-01-2024,Male,2
3,03-01-2024,Female,12
13,03-01-2024,Male,3
13,03-01-2024,Female,18
920,03-01-2024,Male,9
920,03-01-2024,Female,25
924,03-01-2024,Male,2
924,03-01-2024,Female,18
926,03-01-2024,Male,2
926,03-01-2024,Female,37
925,03-01-2024,Male,1
925,03-01-2024,Female,14
918,03-01-2024,Male,2
918,03-01-2024,Female,15
927,03-01-2024,Male,3
927,03-01-2024,Female,7
923,03-01-2024,Male,3
923,03-01-2024,Female,9
929,03-01-2024,Male,5
929,03-01-2024,Female,17
921,03-01-2024,Male,5
921,03-01-2024,Female,14
916,03-01-2024,Male,1
916,03-01-2024,Female,11
919,03-01-2024,Male,3
919,03-01-2024,Female,8
928,03-01-2024,Male,3
928,03-01-2024,Female,16
922,03-01-2024,Male,3
922,03-01-2024,Female,8
917,03-01-2024,Male,2
917,03-01-2024,Female,6
930,03-01-2024,Male,3
930,03-01-2024,Female,8
931,03-01-2024,Male,1
931,03-01-2024,Female,7
947,03-01-2024,Male,2
947,03-01-2024,Female,23
950,03-01-2024,Male,2
950,03-01-2024,Female,19
955,03-01-2024,Male,7
955,03-01-2024,Female,7
952,03-01-2024,Male,4
952,03-01-2024,Female,15
949,03-01-2024,Male,6
949,03-01-2024,Female,15
956,03-01-2024,Male,6
956,03-01-2024,Female,18
960,03-01-2024,Male,3
960,03-01-2024,Female,10
957,03-01-2024,Male,3
957,03-01-2024,Female,15
954,03-01-2024,Male,2
954,03-01-2024,Female,6
958,03-01-2024,Male,1
958,03-01-2024,Female,9
953,03-01-2024,Male,7
953,03-01-2024,Female,7
951,03-01-2024,Male,3
951,03-01-2024,Female,18
959,03-01-2024,Male,3
959,03-01-2024,Female,13
948,03-01-2024,Male,4
948,03-01-2024,Female,14
1034,03-01-2024,Male,4
1034,03-01-2024,Female,8
129,03-01-2024,Male,2
129,03-01-2024,Female,32
124,03-01-2024,Male,3
124,03-01-2024,Female,24
126,03-01-2024,Male,3
126,03-01-2024,Female,19
123,03-01-2024,Male,1
123,03-01-2024,Female,20
122,03-01-2024,Male,1
122,03-01-2024,Female,16
119,03-01-2024,Male,5
119,03-01-2024,Female,9
116,03-01-2024,Male,6
116,03-01-2024,Female,26
121,03-01-2024,Male,8
121,03-01-2024,Female,11
127,03-01-2024,Male,1
127,03-01-2024,Female,19
130,03-01-2024,Male,2
130,03-01-2024,Female,19
118,03-01-2024,Male,1
118,03-01-2024,Female,14
117,03-01-2024,Male,6
117,03-01-2024,Female,20
115,03-01-2024,Male,1
115,03-01-2024,Female,8
125,03-01-2024,Male,0
125,03-01-2024,Female,16
120,03-01-2024,Male,3
120,03-01-2024,Female,11
128,03-01-2024,Male,2
128,03-01-2024,Female,12
142,03-01-2024,Male,6
142,03-01-2024,Female,55
146,03-01-2024,Male,7
146,03-01-2024,Female,43
145,03-01-2024,Male,2
145,03-01-2024,Female,49
147,03-01-2024,Male,4
147,03-01-2024,Female,19
141,03-01-2024,Male,1
141,03-01-2024,Female,12
143,03-01-2024,Male,4
143,03-01-2024,Female,14
148,03-01-2024,Male,2
148,03-01-2024,Female,18
1035,03-01-2024,Male,2
1035,03-01-2024,Female,5
1036,03-01-2024,Male,5
1036,03-01-2024,Female,1
144,03-01-2024,Male,4
144,03-01-2024,Female,9
178,03-01-2024,Male,7
178,03-01-2024,Female,55
175,03-01-2024,Male,7
175,03-01-2024,Female,43
173,03-01-2024,Male,2
173,03-01-2024,Female,49
169,03-01-2024,Male,5
169,03-01-2024,Female,42
163,03-01-2024,Male,2
163,03-01-2024,Female,44
176,03-01-2024,Male,2
176,03-01-2024,Female,41
172,03-01-2024,Male,4
172,03-01-2024,Female,33
168,03-01-2024,Male,2
168,03-01-2024,Female,55
177,03-01-2024,Male,1
177,03-01-2024,Female,17
167,03-01-2024,Male,4
167,03-01-2024,Female,19
170,03-01-2024,Male,2
170,03-01-2024,Female,23
164,03-01-2024,Male,1
164,03-01-2024,Female,28
165,03-01-2024,Male,7
165,03-01-2024,Female,29
181,03-01-2024,Male,3
181,03-01-2024,Female,13
180,03-01-2024,Male,5
180,03-01-2024,Female,18
171,03-01-2024,Male,2
171,03-01-2024,Female,19
174,03-01-2024,Male,2
174,03-01-2024,Female,13
166,03-01-2024,Male,0
166,03-01-2024,Female,13
179,03-01-2024,Male,3
179,03-01-2024,Female,28
276,03-01-2024,Male,4
276,03-01-2024,Female,29
277,03-01-2024,Male,2
277,03-01-2024,Female,20
270,03-01-2024,Male,4
270,03-01-2024,Female,24
274,03-01-2024,Male,7
274,03-01-2024,Female,20
272,03-01-2024,Male,1
272,03-01-2024,Female,12
273,03-01-2024,Male,6
273,03-01-2024,Female,23
275,03-01-2024,Male,3
275,03-01-2024,Female,8
271,03-01-2024,Male,3
271,03-01-2024,Female,8
570,03-01-2024,Male,13
570,03-01-2024,Female,30
571,03-01-2024,Male,4
571,03-01-2024,Female,20
575,03-01-2024,Male,12
575,03-01-2024,Female,21
573,03-01-2024,Male,11
573,03-01-2024,Female,13
577,03-01-2024,Male,2
577,03-01-2024,Female,20
567,03-01-2024,Male,5
567,03-01-2024,Female,12
568,03-01-2024,Male,1
568,03-01-2024,Female,16
572,03-01-2024,Male,11
572,03-01-2024,Female,21
569,03-01-2024,Male,5
569,03-01-2024,Female,12
574,03-01-2024,Male,1
574,03-01-2024,Female,17
576,03-01-2024,Male,4
576,03-01-2024,Female,17
593,03-01-2024,Male,1
593,03-01-2024,Female,38
594,03-01-2024,Male,3
594,03-01-2024,Female,35
596,03-01-2024,Male,5
596,03-01-2024,Female,46
595,03-01-2024,Male,7
595,03-01-2024,Female,35
597,03-01-2024,Male,6
597,03-01-2024,Female,36
598,03-01-2024,Male,0
598,03-01-2024,Female,28
592,03-01-2024,Male,1
592,03-01-2024,Female,38
591,03-01-2024,Male,3
591,03-01-2024,Female,26
680,03-01-2024,Male,3
680,03-01-2024,Female,16
671,03-01-2024,Male,0
671,03-01-2024,Female,17
669,03-01-2024,Male,1
669,03-01-2024,Female,14
672,03-01-2024,Male,3
672,03-01-2024,Female,9
673,03-01-2024,Male,2
673,03-01-2024,Female,8
667,03-01-2024,Male,0
667,03-01-2024,Female,8
666,03-01-2024,Male,3
666,03-01-2024,Female,6
677,03-01-2024,Male,1
677,03-01-2024,Female,12
668,03-01-2024,Male,2
668,03-01-2024,Female,11
674,03-01-2024,Male,2
674,03-01-2024,Female,9
679,03-01-2024,Male,0
679,03-01-2024,Female,19
681,03-01-2024,Male,5
681,03-01-2024,Female,4
678,03-01-2024,Male,4
678,03-01-2024,Female,10
682,03-01-2024,Male,1
682,03-01-2024,Female,16
676,03-01-2024,Male,7
676,03-01-2024,Female,12
670,03-01-2024,Male,2
670,03-01-2024,Female,5
675,03-01-2024,Male,1
675,03-01-2024,Female,11
292,03-01-2024,Male,1
292,03-01-2024,Female,32
290,03-01-2024,Male,4
290,03-01-2024,Female,18
286,03-01-2024,Male,4
286,03-01-2024,Female,17
288,03-01-2024,Male,3
288,03-01-2024,Female,30
291,03-01-2024,Male,1
291,03-01-2024,Female,25
287,03-01-2024,Male,5
287,03-01-2024,Female,34
293,03-01-2024,Male,4
293,03-01-2024,Female,19
289,03-01-2024,Male,3
289,03-01-2024,Female,33
504,03-01-2024,Male,1
504,03-01-2024,Female,15
506,03-01-2024,Male,6
506,03-01-2024,Female,15
511,03-01-2024,Male,3
511,03-01-2024,Female,18
500,03-01-2024,Male,8
500,03-01-2024,Female,19
499,03-01-2024,Male,6
499,03-01-2024,Female,19
509,03-01-2024,Male,10
509,03-01-2024,Female,17
513,03-01-2024,Male,4
513,03-01-2024,Female,15
507,03-01-2024,Male,4
507,03-01-2024,Female,9
508,03-01-2024,Male,2
508,03-01-2024,Female,5
512,03-01-2024,Male,8
512,03-01-2024,Female,8
515,03-01-2024,Male,4
515,03-01-2024,Female,13
510,03-01-2024,Male,7
510,03-01-2024,Female,18
505,03-01-2024,Male,1
505,03-01-2024,Female,6
514,03-01-2024,Male,0
514,03-01-2024,Female,0
503,03-01-2024,Male,4
503,03-01-2024,Female,8
501,03-01-2024,Male,5
501,03-01-2024,Female,14
502,03-01-2024,Male,0
502,03-01-2024,Female,0
335,03-01-2024,Male,4
335,03-01-2024,Female,10
323,03-01-2024,Male,6
323,03-01-2024,Female,19
326,03-01-2024,Male,3
326,03-01-2024,Female,22
327,03-01-2024,Male,3
327,03-01-2024,Female,20
333,03-01-2024,Male,13
333,03-01-2024,Female,41
338,03-01-2024,Male,1
338,03-01-2024,Female,60
328,03-01-2024,Male,4
328,03-01-2024,Female,29
337,03-01-2024,Male,4
337,03-01-2024,Female,31
324,03-01-2024,Male,11
324,03-01-2024,Female,34
332,03-01-2024,Male,2
332,03-01-2024,Female,22
329,03-01-2024,Male,0
329,03-01-2024,Female,10
336,03-01-2024,Male,5
336,03-01-2024,Female,19
330,03-01-2024,Male,0
330,03-01-2024,Female,20
334,03-01-2024,Male,4
334,03-01-2024,Female,32
331,03-01-2024,Male,3
331,03-01-2024,Female,21
325,03-01-2024,Male,2
325,03-01-2024,Female,51
477,03-01-2024,Male,2
477,03-01-2024,Female,17
478,03-01-2024,Male,0
478,03-01-2024,Female,0
471,03-01-2024,Male,4
471,03-01-2024,Female,16
472,03-01-2024,Male,1
472,03-01-2024,Female,18
479,03-01-2024,Male,7
479,03-01-2024,Female,16
476,03-01-2024,Male,1
476,03-01-2024,Female,1
469,03-01-2024,Male,2
469,03-01-2024,Female,17
470,03-01-2024,Male,3
470,03-01-2024,Female,17
480,03-01-2024,Male,4
480,03-01-2024,Female,15
473,03-01-2024,Male,4
473,03-01-2024,Female,10
475,03-01-2024,Male,6
475,03-01-2024,Female,26
468,03-01-2024,Male,4
468,03-01-2024,Female,17
474,03-01-2024,Male,1
474,03-01-2024,Female,17
986,03-01-2024,Male,5
986,03-01-2024,Female,5
992,03-01-2024,Male,2
992,03-01-2024,Female,12
988,03-01-2024,Male,0
988,03-01-2024,Female,0
985,03-01-2024,Male,3
985,03-01-2024,Female,59
983,03-01-2024,Male,3
983,03-01-2024,Female,14
989,03-01-2024,Male,0
989,03-01-2024,Female,2
984,03-01-2024,Male,6
984,03-01-2024,Female,46
991,03-01-2024,Male,0
991,03-01-2024,Female,23
990,03-01-2024,Male,2
990,03-01-2024,Female,17
987,03-01-2024,Male,1
987,03-01-2024,Female,11
993,03-01-2024,Male,0
993,03-01-2024,Female,14
792,03-01-2024,Male,7
792,03-01-2024,Female,46
790,03-01-2024,Male,1
790,03-01-2024,Female,51
802,03-01-2024,Male,2
802,03-01-2024,Female,45
789,03-01-2024,Male,2
789,03-01-2024,Female,58
803,03-01-2024,Male,2
803,03-01-2024,Female,49
793,03-01-2024,Male,6
793,03-01-2024,Female,46
797,03-01-2024,Male,3
797,03-01-2024,Female,48
795,03-01-2024,Male,3
795,03-01-2024,Female,48
804,03-01-2024,Male,4
804,03-01-2024,Female,50
800,03-01-2024,Male,3
800,03-01-2024,Female,37
801,03-01-2024,Male,2
801,03-01-2024,Female,48
791,03-01-2024,Male,5
791,03-01-2024,Female,49
796,03-01-2024,Male,2
796,03-01-2024,Female,36
794,03-01-2024,Male,21
794,03-01-2024,Female,37
798,03-01-2024,Male,2
798,03-01-2024,Female,63
799,03-01-2024,Male,4
799,03-01-2024,Female,38
108,03-01-2024,Male,6
108,03-01-2024,Female,48
879,03-01-2024,Male,6
879,03-01-2024,Female,44
878,03-01-2024,Male,2
878,03-01-2024,Female,36
882,03-01-2024,Male,5
882,03-01-2024,Female,41
881,03-01-2024,Male,3
881,03-01-2024,Female,40
880,03-01-2024,Male,1
880,03-01-2024,Female,13
722,03-01-2024,Male,5
722,03-01-2024,Female,18
720,03-01-2024,Male,5
720,03-01-2024,Female,32
723,03-01-2024,Male,1
723,03-01-2024,Female,31
716,03-01-2024,Male,5
716,03-01-2024,Female,16
719,03-01-2024,Male,2
719,03-01-2024,Female,14
717,03-01-2024,Male,2
717,03-01-2024,Female,27
714,03-01-2024,Male,5
714,03-01-2024,Female,18
718,03-01-2024,Male,4
718,03-01-2024,Female,32
721,03-01-2024,Male,7
721,03-01-2024,Female,21
715,03-01-2024,Male,2
