school_id,class,timestamp,gender,population
10,SSS3,06-01-2024,Female,12
7,JSS1,06-01-2024,Male,23
7,JSS2,06-01-2024,Male,21
7,JSS3,06-01-2024,Male,20
7,SSS1,06-01-2024,Male,15
7,SSS2,06-01-2024,Male,15
7,SSS3,06-01-2024,Male,18
7,JSS1,06-01-2024,Female,9
7,JSS2,06-01-2024,Female,12
7,JSS3,06-01-2024,Female,8
7,SSS1,06-01-2024,Female,8
7,SSS2,06-01-2024,Female,8
7,SSS3,06-01-2024,Female,12
5,JSS1,06-01-2024,Male,48
5,JSS2,06-01-2024,Male,24
5,JSS3,06-01-2024,Male,17
5,SSS1,06-01-2024,Male,21
5,SSS2,06-01-2024,Male,11
5,SSS3,06-01-2024,Male,17
5,JSS1,06-01-2024,Female,22
5,JSS2,06-01-2024,Female,9
5,JSS3,06-01-2024,Female,22
5,SSS1,06-01-2024,Female,12
5,SSS2,06-01-2024,Female,11
5,SSS3,06-01-2024,Female,6
6,JSS1,06-01-2024,Male,36
6,JSS2,06-01-2024,Male,34
6,JSS3,06-01-2024,Male,21
6,SSS1,06-01-2024,Male,10
6,SSS2,06-01-2024,Male,12
6,SSS3,06-01-2024,Male,17
6,JSS1,06-01-2024,Female,21
6,JSS2,06-01-2024,Female,18
6,JSS3,06-01-2024,Female,29
6,SSS1,06-01-2024,Female,11
6,SSS2,06-01-2024,Female,10
6,SSS3,06-01-2024,Female,13
2,JSS1,06-01-2024,Male,42
2,JSS2,06-01-2024,Male,55
2,JSS3,06-01-2024,Male,39
2,SSS1,06-01-2024,Male,26
2,SSS2,06-01-2024,Male,36
2,SSS3,06-01-2024,Male,32
2,JSS1,06-01-2024,Female,48
2,JSS2,06-01-2024,Female,76
2,JSS3,06-01-2024,Female,87
2,SSS1,06-01-2024,Female,62
2,SSS2,06-01-2024,Female,60
2,SSS3,06-01-2024,Female,64
4,JSS1,06-01-2024,Male,61
4,JSS2,06-01-2024,Male,65
4,JSS3,06-01-2024,Male,52
4,SSS1,06-01-2024,Male,45
4,SSS2,06-01-2024,Male,10
4,SSS3,06-01-2024,Male,27
4,JSS1,06-01-2024,Female,32
4,JSS2,06-01-2024,Female,23
4,JSS3,06-01-2024,Female,19
4,SSS1,06-01-2024,Female,18
4,SSS2,06-01-2024,Female,42
4,SSS3,06-01-2024,Female,7
3,JSS1,06-01-2024,Male,9
3,JSS2,06-01-2024,Male,7
3,JSS3,06-01-2024,Male,0
3,SSS1,06-01-2024,Male,4
3,SSS2,06-01-2024,Male,5
3,SSS3,06-01-2024,Male,7
3,JSS1,06-01-2024,Female,7
3,JSS2,06-01-2024,Female,2
3,JSS3,06-01-2024,Female,0
3,SSS1,06-01-2024,Female,1
3,SSS2,06-01-2024,Female,9
3,SSS3,06-01-2024,Female,14
13,JSS1,06-01-2024,Male,20
13,JSS2,06-01-2024,Male,11
13,JSS3,06-01-2024,Male,15
13,SSS1,06-01-2024,Male,11
13,SSS2,06-01-2024,Male,15
13,SSS3,06-01-2024,Male,8
13,JSS1,06-01-2024,Female,14
13,JSS2,06-01-2024,Female,23
13,JSS3,06-01-2024,Female,14
13,SSS1,06-01-2024,Female,16
13,SSS2,06-01-2024,Female,11
13,SSS3,06-01-2024,Female,24
920,JSS1,06-01-2024,Male,115
920,JSS2,06-01-2024,Male,71
920,JSS3,06-01-2024,Male,44
920,SSS1,06-01-2024,Male,51
920,SSS2,06-01-2024,Male,50
920,SSS3,06-01-2024,Male,37
920,JSS1,06-01-2024,Female,105
920,JSS2,06-01-2024,Female,88
920,JSS3,06-01-2024,Female,127
920,SSS1,06-01-2024,Female,112
920,SSS2,06-01-2024,Female,79
920,SSS3,06-01-2024,Female,65
924,JSS1,06-01-2024,Male,38
924,JSS2,06-01-2024,Male,20
924,JSS3,06-01-2024,Male,17
924,SSS1,06-01-2024,Male,12
924,SSS2,06-01-2024,Male,11
924,SSS3,06-01-2024,Male,11
924,JSS1,06-01-2024,Female,39
924,JSS2,06-01-2024,Female,23
924,JSS3,06-01-2024,Female,16
924,SSS1,06-01-2024,Female,14
924,SSS2,06-01-2024,Female,12
924,SSS3,06-01-2024,Female,6
926,JSS1,06-01-2024,Male,94
926,JSS2,06-01-2024,Male,61
926,JSS3,06-01-2024,Male,83
926,SSS1,06-01-2024,Male,83
926,SSS2,06-01-2024,Male,62
926,SSS3,06-01-2024,Male,42
926,JSS1,06-01-2024,Female,105
926,JSS2,06-01-2024,Female,77
926,JSS3,06-01-2024,Female,80
926,SSS1,06-01-2024,Female,102
926,SSS2,06-01-2024,Female,83
926,SSS3,06-01-2024,Female,51
925,JSS1,06-01-2024,Male,11
925,JSS2,06-01-2024,Male,13
925,JSS3,06-01-2024,Male,14
925,SSS1,06-01-2024,Male,14
925,SSS2,06-01-2024,Male,13
925,SSS3,06-01-2024,Male,4
925,JSS1,06-01-2024,Female,19
925,JSS2,06-01-2024,Female,19
925,JSS3,06-01-2024,Female,13
925,SSS1,06-01-2024,Female,12
925,SSS2,06-01-2024,Female,9
925,SSS3,06-01-2024,Female,16
918,JSS1,06-01-2024,Male,35
918,JSS2,06-01-2024,Male,25
918,JSS3,06-01-2024,Male,27
918,SSS1,06-01-2024,Male,25
918,SSS2,06-01-2024,Male,41
918,SSS3,06-01-2024,Male,22
918,JSS1,06-01-2024,Female,33
918,JSS2,06-01-2024,Female,26
918,JSS3,06-01-2024,Female,43
918,SSS1,06-01-2024,Female,36
918,SSS2,06-01-2024,Female,41
918,SSS3,06-01-2024,Female,21
927,JSS1,06-01-2024,Male,23
927,JSS2,06-01-2024,Male,27
927,JSS3,06-01-2024,Male,37
927,SSS1,06-01-2024,Male,13
927,SSS2,06-01-2024,Male,23
927,SSS3,06-01-2024,Male,34
927,JSS1,06-01-2024,Female,20
927,JSS2,06-01-2024,Female,18
927,JSS3,06-01-2024,Female,21
927,SSS1,06-01-2024,Female,24
927,SSS2,06-01-2024,Female,14
927,SSS3,06-01-2024,Female,17
923,JSS1,06-01-2024,Male,22
923,JSS2,06-01-2024,Male,20
923,JSS3,06-01-2024,Male,24
923,SSS1,06-01-2024,Male,23
923,SSS2,06-01-2024,Male,34
923,SSS3,06-01-2024,Male,25
923,JSS1,06-01-2024,Female,26
923,JSS2,06-01-2024,Female,16
923,JSS3,06-01-2024,Female,34
923,SSS1,06-01-2024,Female,20
923,SSS2,06-01-2024,Female,20
923,SSS3,06-01-2024,Female,17
929,JSS1,06-01-2024,Male,61
929,JSS2,06-01-2024,Male,54
929,JSS3,06-01-2024,Male,32
929,SSS1,06-01-2024,Male,16
929,SSS2,06-01-2024,Male,19
929,SSS3,06-01-2024,Male,16
929,JSS1,06-01-2024,Female,50
929,JSS2,06-01-2024,Female,37
929,JSS3,06-01-2024,Female,33
929,SSS1,06-01-2024,Female,15
929,SSS2,06-01-2024,Female,22
929,SSS3,06-01-2024,Female,12
921,JSS1,06-01-2024,Male,14
921,JSS2,06-01-2024,Male,19
921,JSS3,06-01-2024,Male,14
921,SSS1,06-01-2024,Male,13
921,SSS2,06-01-2024,Male,14
921,SSS3,06-01-2024,Male,5
921,JSS1,06-01-2024,Female,25
921,JSS2,06-01-2024,Female,21
921,JSS3,06-01-2024,Female,14
921,SSS1,06-01-2024,Female,15
921,SSS2,06-01-2024,Female,12
921,SSS3,06-01-2024,Female,12
916,JSS1,06-01-2024,Male,10
916,JSS2,06-01-2024,Male,9
916,JSS3,06-01-2024,Male,8
916,SSS1,06-01-2024,Male,4
916,SSS2,06-01-2024,Male,5
916,SSS3,06-01-2024,Male,4
916,JSS1,06-01-2024,Female,5
916,JSS2,06-01-2024,Female,6
916,JSS3,06-01-2024,Female,6
916,SSS1,06-01-2024,Female,7
916,SSS2,06-01-2024,Female,7
916,SSS3,06-01-2024,Female,0
919,JSS1,06-01-2024,Male,44
919,JSS2,06-01-2024,Male,23
919,JSS3,06-01-2024,Male,38
919,SSS1,06-01-2024,Male,35
919,SSS2,06-01-2024,Male,20
919,SSS3,06-01-2024,Male,31
919,JSS1,06-01-2024,Female,37
919,JSS2,06-01-2024,Female,19
919,JSS3,06-01-2024,Female,34
919,SSS1,06-01-2024,Female,20
919,SSS2,06-01-2024,Female,24
919,SSS3,06-01-2024,Female,24
928,JSS1,06-01-2024,Male,12
928,JSS2,06-01-2024,Male,4
928,JSS3,06-01-2024,Male,15
928,SSS1,06-01-2024,Male,15
928,SSS2,06-01-2024,Male,11
928,SSS3,06-01-2024,Male,8
928,JSS1,06-01-2024,Female,17
928,JSS2,06-01-2024,Female,13
928,JSS3,06-01-2024,Female,19
928,SSS1,06-01-2024,Female,18
928,SSS2,06-01-2024,Female,13
928,SSS3,06-01-2024,Female,16
922,JSS1,06-01-2024,Male,22
922,JSS2,06-01-2024,Male,18
922,JSS3,06-01-2024,Male,12
922,SSS1,06-01-2024,Male,7
922,SSS2,06-01-2024,Male,7
922,SSS3,06-01-2024,Male,8
922,JSS1,06-01-2024,Female,21
922,JSS2,06-01-2024,Female,14
922,JSS3,06-01-2024,Female,12
