lga_id,year,gender,population
13,2019,Male,282024
13,2019,Female,275168
18,2019,Male,116777
18,2019,Female,112366
2,2019,Male,129268
2,2019,Female,122697
9,2019,Male,215305
9,2019,Female,212734
15,2019,Male,86174
15,2019,Female,82791
20,2019,Male,145938
20,2019,Female,139688
6,2019,Male,122087
6,2019,Female,116096
12,2019,Male,74513
12,2019,Female,70846
17,2019,Male,120563
17,2019,Female,118037
8,2019,Male,330158
8,2019,Female,318952
3,2019,Male,159384
3,2019,Female,159089
16,2019,Male,229219
16,2019,Female,226022
11,2019,Male,111250
11,2019,Female,112238
10,2019,Male,116744
10,2019,Female,117360
4,2019,Male,178514
4,2019,Female,172938
19,2019,Male,174216
19,2019,Female,162108
14,2019,Male,92754
14,2019,Female,96883
1,2019,Male,107453
1,2019,Female,99162
7,2019,Male,128007
7,2019,Female,132196
21,2019,Male,140361
21,2019,Female,137575
5,2019,Male,129058
5,2019,Female,124259
