lga_id,year,gender,population
13,2006,Male,187262
13,2006,Female,182710
18,2006,Male,77539
18,2006,Female,74610
2,2006,Male,85833
2,2006,Female,81470
9,2006,Male,142961
9,2006,Female,141254
15,2006,Male,57219
15,2006,Female,54973
20,2006,Male,96902
20,2006,Female,92972
6,2006,Male,81065
6,2006,Female,77087
12,2006,Male,49476
12,2006,Female,47041
17,2006,Male,80053
17,2006,Female,78376
8,2006,Male,219223
8,2006,Female,211782
3,2006,Male,105830
3,2006,Female,100986
16,2006,Male,152200
16,2006,Female,150077
11,2006,Male,73869
11,2006,Female,74525
10,2006,Male,77517
10,2006,Female,77926
4,2006,Male,118532
4,2006,Female,114830
19,2006,Male,115678
19,2006,Female,107639
14,2006,Male,61588
14,2006,Female,64330
1,2006,Male,71348
1,2006,Female,65683
7,2006,Male,84996
7,2006,Female,87777
21,2006,Male,93199
21,2006,Female,91349
5,2006,Male,85694
5,2006,Female,82507
