lga_id,year,gender,population
13,2021,Male,300362
13,2021,Female,293061
18,2021,Male,124370
18,2021,Female,119672
2,2021,Male,137673
2,2021,Female,130675
9,2021,Male,229305
9,2021,Female,226567
15,2021,Male,91777
15,2021,Female,88175
20,2021,Male,155428
20,2021,Female,148771
6,2021,Male,130026
6,2021,Female,123645
12,2021,Male,79358
12,2021,Female,75452
17,2021,Male,128402
17,2021,Female,125713
8,2021,Male,351626
8,2021,Female,339691
3,2021,Male,169748
3,2021,Female,161978
16,2021,Male,244124
16,2021,Female,240719
11,2021,Male,118483
11,2021,Female,119536
10,2021,Male,124335
10,2021,Female,124991
4,2021,Male,190121
4,2021,Female,184184
19,2021,Male,185544
19,2021,Female,172649
14,2021,Male,98785
14,2021,Female,103183
1,2021,Male,114440
1,2021,Female,105610
7,2021,Male,136331
7,2021,Female,140791
21,2021,Male,149488
21,2021,Female,146521
5,2021,Male,137450
5,2021,Female,132339
